"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl3Sort_noDM","EigentuemerSSZPubl3Cd_noDM","EigentuemerSSZPubl3Lang_noDM","GebaeudeMitWohnungSort_noDM","GebaeudeMitWohnungCd_noDM","GebaeudeMitWohnungLang_noDM","AnzGbd","AnzWhgStat","Wohnflaeche","AnzBestWir"
2008,"D",1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",7,0,0,0
2008,"D",1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",9,33,2508,52
2008,"D",1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",28,0,0,28
2008,"D",1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",74,401,21778,451
2008,"D",2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",20,0,0,0
2008,"D",2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",61,266,17863,435
2008,"D",2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",38,0,0,42
2008,"D",2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",94,433,27578,524
2008,"D",3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",20,0,0,22
2008,"D",3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",35,143,10246,236
2008,"D",3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",75,0,0,14
2008,"D",3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",105,547,33335,593
2008,"D",4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",12,0,0,1
2008,"D",4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",29,118,7024,173
2008,"D",4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",68,0,0,54
2008,"D",4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",110,371,27582,426
2008,"D",6,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",12,0,0,137
2008,"D",6,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",1,4,375,9
2008,"D",6,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",22,0,0,3
2008,"D",6,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",27,95,7418,225
2008,"D",7,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",16,0,0,0
2008,"D",7,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",7,17,1537,23
2008,"D",7,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",65,0,0,0
2008,"D",7,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",19,37,3911,39
2008,"D",8,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",14,0,0,0
2008,"D",8,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",5,25,2558,38
2008,"D",8,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",58,0,0,20
2008,"D",8,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",37,156,12565,208
2008,"D",11,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",28,0,0,19
2008,"D",11,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",26,127,8712,183
2008,"D",11,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",58,0,0,18
2008,"D",11,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",72,268,17664,243
2008,"D",12,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",4,0,0,0
2008,"D",12,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",3,11,729,10
2008,"D",12,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",76,0,0,19
2008,"D",12,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",123,407,29520,408
2008,"D",13,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",11,0,0,0
2008,"D",13,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",1,1,76,6
2008,"D",13,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",21,0,0,5
2008,"D",13,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",17,28,2794,29
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",23,0,0,0
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",3,7,634,15
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",72,0,0,6
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",14,18,1651,18
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",19,0,0,0
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",3,10,787,30
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",92,0,0,17
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",41,87,6802,104
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",14,0,0,69
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",5,73,9925,211
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",21,0,0,13
