"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzNeubauWhg_noDM","AnzAbbruchWhg_noDM"
2009,"D",1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1",5,"5","Im Stockwerkeigentum",3,
2009,"D",3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1",1,"1","Öffentliche Hand",,
2009,"D",8,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",,2
2009,"D",21,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",0,
2009,"D",21,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",14,
2009,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",,1
2009,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",15,
2009,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",1,
2009,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",11,
2009,"D",26,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",5,
2009,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,8
2009,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",,
2009,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",32,
2009,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,3
2009,"D",30,"02110","Verenastrasse",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",,
2009,"D",41,"02404","Museum Rietberg",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",,3
2009,"D",47,"03101","Höfliweg",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",,110
2009,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",0,
2009,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",5,"5","Im Stockwerkeigentum",,3
2009,"D",52,"03106","Saalsporthalle",31,"031","Alt-Wiedikon",3,"3","Kreis 3",4,"4","Natürliche Personen",,11
