"StichtagDatJahr","StatZoneSort","StatZoneLang","QuarSort","QuarLang","KreisSort","HerkunftSort","HerkunftCd","HerkunftLang","Kon2AggSort_noDM","Kon2AggCd_noDM","Kon2AggLang_noDM","AnzBestWir"
1993,1,"Zähringerstrasse",11,"Rathaus",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",157
1993,1,"Zähringerstrasse",11,"Rathaus",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",122
1993,1,"Zähringerstrasse",11,"Rathaus",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",129
1993,1,"Zähringerstrasse",11,"Rathaus",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",8
1993,1,"Zähringerstrasse",11,"Rathaus",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",73
1993,1,"Zähringerstrasse",11,"Rathaus",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",95
1993,2,"Prediger",11,"Rathaus",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",333
1993,2,"Prediger",11,"Rathaus",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",208
1993,2,"Prediger",11,"Rathaus",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",269
1993,2,"Prediger",11,"Rathaus",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",14
1993,2,"Prediger",11,"Rathaus",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",66
1993,2,"Prediger",11,"Rathaus",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",89
1993,3,"Grossmünster",11,"Rathaus",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",314
1993,3,"Grossmünster",11,"Rathaus",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",176
1993,3,"Grossmünster",11,"Rathaus",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",209
1993,3,"Grossmünster",11,"Rathaus",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",24
1993,3,"Grossmünster",11,"Rathaus",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",68
1993,3,"Grossmünster",11,"Rathaus",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",94
1993,4,"Oberdorf",11,"Rathaus",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",260
1993,4,"Oberdorf",11,"Rathaus",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",141
1993,4,"Oberdorf",11,"Rathaus",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",169
1993,4,"Oberdorf",11,"Rathaus",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",11
1993,4,"Oberdorf",11,"Rathaus",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",45
1993,4,"Oberdorf",11,"Rathaus",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",59
1993,6,"Central",12,"Hochschulen",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",121
1993,6,"Central",12,"Hochschulen",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",136
1993,6,"Central",12,"Hochschulen",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",42
1993,6,"Central",12,"Hochschulen",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",15
1993,6,"Central",12,"Hochschulen",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",33
1993,6,"Central",12,"Hochschulen",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",27
1993,7,"ETH / Universität",12,"Hochschulen",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",28
1993,7,"ETH / Universität",12,"Hochschulen",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",63
1993,7,"ETH / Universität",12,"Hochschulen",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",21
1993,7,"ETH / Universität",12,"Hochschulen",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",2
1993,7,"ETH / Universität",12,"Hochschulen",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",17
1993,7,"ETH / Universität",12,"Hochschulen",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",13
1993,8,"Bellevue",12,"Hochschulen",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",103
1993,8,"Bellevue",12,"Hochschulen",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",44
1993,8,"Bellevue",12,"Hochschulen",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",56
1993,8,"Bellevue",12,"Hochschulen",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",15
1993,8,"Bellevue",12,"Hochschulen",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",26
1993,8,"Bellevue",12,"Hochschulen",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",46
1993,11,"Schipfe",13,"Lindenhof",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",195
1993,11,"Schipfe",13,"Lindenhof",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",111
1993,11,"Schipfe",13,"Lindenhof",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",122
1993,11,"Schipfe",13,"Lindenhof",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",14
1993,11,"Schipfe",13,"Lindenhof",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",20
1993,11,"Schipfe",13,"Lindenhof",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",32
1993,12,"Münsterhof",13,"Lindenhof",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",197
1993,12,"Münsterhof",13,"Lindenhof",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",106
1993,12,"Münsterhof",13,"Lindenhof",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",101
1993,12,"Münsterhof",13,"Lindenhof",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",6
1993,12,"Münsterhof",13,"Lindenhof",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",56
1993,12,"Münsterhof",13,"Lindenhof",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",50
1993,13,"Stadthaus",13,"Lindenhof",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",66
1993,13,"Stadthaus",13,"Lindenhof",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",38
1993,13,"Stadthaus",13,"Lindenhof",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",15
1993,13,"Stadthaus",13,"Lindenhof",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",0
1993,13,"Stadthaus",13,"Lindenhof",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",4
1993,13,"Stadthaus",13,"Lindenhof",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",3
1993,15,"Bahnhofplatz",14,"City",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",17
1993,15,"Bahnhofplatz",14,"City",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",4
1993,15,"Bahnhofplatz",14,"City",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",10
1993,15,"Bahnhofplatz",14,"City",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",1
